Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__Smc__entry
  0.00      0.07     0.00        1     0.00     0.00  camlPpl__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__arg__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__arrayLabels__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__array__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__bigarray__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__buffer__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__bytesLabels__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__bytes__blit_string_143
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__bytes__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__callback__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__char__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__complex__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__digest__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__ephemeron__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__filename__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__flush_all_212
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__format__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__format__flush_standard_formatters_1083
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__format__formatter_of_buffer_694
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__gc__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__hashtbl__MakeSeeded_706
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__hashtbl__Make_848
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__hashtbl__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__int32__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__int64__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__int__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__iter_213
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__lazy__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__lazy__from_fun_87
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__lazy__from_val_159
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__lexing__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__listLabels__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__list__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__map__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__marshal__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__min_40
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__moreLabels__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__nativeint__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__obj__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__output_string_224
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__parsing__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__pervasives__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printexc__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printexc__set_uncaught_exception_handler_399
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printf__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printf__fprintf_164
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printf__fun_207
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printf__fun_216
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__printf__kfprintf_104
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__queue__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__bits_263
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__int_273
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__intaux_268
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__make_self_init_258
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__new_state_85
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__random__self_init_453
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__scanf__entry
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__scanf__from_ic_307
  0.00      0.07     0.00        1     0.00     0.00  camlStdlib__seq__entry
